ID,Created,Title,Reason for desk reservation,DeskText,Reserved By,Check Out From,Check Out To,Check Out From Text,Check Out To Text,Check Out From Number,Check Out To Number,Service,Description,RoomReservation,Manager,Asset,RecurrenceFrequency,RecurrenceEndDate,MeetingCategory,RecurrenceID,RecurrenceDayName,RecurrenceTimes,OptionalAttendees,DeskFloor,IsRecurring,OutlookEventID,Created By,OutlookSeriesID,RecurrencePattern,ParentReservationID,Floor
62,10/16/2025 13:33,"lastName, firstName A. - Bldg. 2, RM1417, Desk 8 @ 11/04/2025 08:00",,"Bldg. 2, RM1417, Desk 8","lastName, firstName A.",11/4/25 8:00,11/4/25 17:00,11/04/2025 08:00,11/04/2025 17:00,45965.33,45965.71,Ancillary - Laboratory,,TRUE,"lastName, firstName A.",Desk,,11/4/2025,Super User Training,39,,,,"Bldg. 2, RM1417",TRUE,,"lastName, firstName A.",,,,
63,10/16/2025 13:45,"lastName, firstName A. - Bldg. 2, RM1417, Desk 8 @ 11/07/2025 13:00",,"Bldg. 2, RM1417, Desk 8","lastName, firstName A.",11/7/25 13:00,11/7/25 15:00,11/07/2025 13:00,11/07/2025 15:00,45968.54,45968.63,Ancillary - Laboratory,,TRUE,"lastName, firstName A.",Desk,,11/7/2025,Super User Training,40,,,,"Bldg. 2, RM1417",TRUE,,"lastName, firstName A.",,,,
64,10/20/2025 10:17,"lastName, firstName A. - Bldg. 9, RM124, Desk 9 @ 11/12/2025 13:00",,"Bldg. 9, RM124, Desk 9","lastName, firstName A.",11/12/25 13:00,11/12/25 17:00,11/12/2025 13:00,11/12/2025 17:00,45973.54,45973.71,CLC,,TRUE,"lastName, firstName A.",Desk,,11/12/2025,Super User Training,41,,,,"Bldg. 9, RM124",TRUE,,"lastName, firstName A.",,,,
65,10/21/2025 10:48,"lastName, firstName A. - Bldg. 6, RM317, Desk 13 @ 11/13/2025 08:00",,"Bldg. 6, RM317, Desk 13","lastName, firstName A.",11/13/25 8:00,11/13/25 12:00,11/13/2025 08:00,11/13/2025 12:00,45974.33,45974.50,Social Work Service,,TRUE,"lastName, firstName A.",Desk,,11/13/2025,Super User Training,42,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
71,10/23/2025 15:49,"lastName, firstName A. - Bldg. 2, RM1317, Desk 9 @ 11/04/2025 08:00",,"Bldg. 2, RM1317, Desk 9","lastName, firstName A.",11/4/25 8:00,11/4/25 17:00,11/04/2025 08:00,11/04/2025 17:00,45965.33,45965.71,ic uc,,TRUE,"lastName, firstName A.",Desk,,11/4/2025,Super User Training,45,,,,"Bldg. 2, RM1317",TRUE,,"lastName, firstName A.",,,,
72,10/27/2025 11:59,"lastName, firstName A. - Bldg. 6, RM317, Desk 10 @ 11/18/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 10","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,46,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
73,10/27/2025 11:59,"lastName, firstName A. - Bldg. 6, RM317, Desk 11 @ 11/18/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 11","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,46,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
74,10/27/2025 11:59,"lastName, firstName A. - Bldg. 6, RM317, Desk 10 @ 11/18/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 10","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,46,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
75,10/27/2025 11:59,"lastName, firstName A. - Bldg. 6, RM317, Desk 11 @ 11/18/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 11","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,46,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
76,10/27/2025 11:59,"lastName, firstName A. - Bldg. 6, RM317, Desk 12 @ 11/18/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 12","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,46,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
